"Investor","Loan Types","Loan Channels","Min Credit","Executive","AVG App To Fund","Preferred","Rating","Portal","Licensed States","Revenue Notes","Notes"
"Click n' Close, Inc","Conventional, FHA, VA, USDA","Correspondent, Wholesale","580","Jon Eldridge","37 (19)","✓","3.75","🔗","🔗","LPC/BPC: 2.25% (1K Min, 30K Max)","$995"
"Figure Lending LLC","Heloc","Wholesale","600","Brian Rowley","19 (82)","✓","4.71","🔗","🔗","LPC: 2.0%",""
"Forward Lending","Conventional, FHA, VA, USDA, Heloan, Non-QM, Jumbo, Commercial - Residential","Wholesale","550","Allen Samuel","42 (60)","✓","4.32","🔗","🔗","2.25% (1K Min, 30K Max), BPC only on Non-QM loans,","$595 - $1995"
"Kind Lending, LLC","Conventional, FHA, VA, USDA, Heloc, Heloan, Non-QM, Jumbo","Correspondent, Wholesale","580","Darcy Madrid","34 (86)","✓","4.62","🔗","🔗","2.25% (1K Min, 30K Max)","$1075"
"LoanUnited.com, LLC","FHA, VA","Correspondent, Wholesale","500","William Matiz","44 (59)","✓","4.33","🔗","🔗","LPC/BPC: 2.25% (20K Max)","$795 UW FEE: VA IRRRL
$995 UW FEE: FHA, VA, & Conv Full Doc"
"NewRez LLC","Conventional, FHA, VA, USDA, Non-QM, Jumbo","Correspondent, Wholesale","580","Maureen Reynosa","45 (65)","✓","4.52","🔗","🔗","2.25% (1K Min, 30K Max)","$995.00 Caliber to Caliber  or Newrez to Newrez$495.00 Streamline $495.00 VA $0 Non QM $1250.00"
"PennyMac TPO","Conventional, FHA, VA, Heloan, Jumbo","Correspondent, Wholesale","580","EMC Team Support","41 (93)","✓","3.92","🔗","🔗","LPC: 2.25% (1K Min, 30K Max)","Admin Fee Conf/Govt $1014 agency/$1095 jumbo Admin Fee Streamline/IRRRL: $595
Flood Cert: $7 
Tax Service (if applicable): $74 
MERS: $25"
"Spring EQ","Heloc, Heloan","Wholesale","640","Lauri Preedge","27 (106)","✓","4.65","🔗","🔗","Max LPC is 2%.","HELOAN Admin Fee: $799
HELOC Admin Fee: $295"
"Sun West Mortgage Company, Inc","Conventional, FHA, VA, USDA, Non-QM","Correspondent, Wholesale","500","Suresh Choudhary","49 (51)","✓","4.46","🔗","🔗","LPC: 2.25% (1K Min, 30K Max)","Streamlines: $475 UW + $60 Tax Service Regular: $1195 UW+ $60 Tax Service"
"The Loan Store, Inc.","Conventional, FHA, VA, USDA, Heloc, Non-QM, Jumbo","Wholesale","580","Victoria Abercrombie","26 (109)","✓","4.21","🔗","🔗","2.25% (1K Min, 30K Max)","Lender Fee: $1,050
Tax Service: $75
Flood Cert: $14 (TX loans - $150)"
"UWM","Conventional, FHA, VA, USDA, Heloc, Non-QM, Jumbo","Correspondent, Wholesale","580","Joe Pietrobono","29 (1819)","✓","4.73","🔗","🔗","LPC/BPC: -2.25% (30k Max)","$1350"
"11 Mortgage","Conventional, FHA, VA, USDA","Wholesale","580","Susan Blake","35 (7)","","","🔗","🔗","LPC 2.25% ($20k max)","Agency Products $1295
Streamlines & IRRRL’s $595
Non-QM $1495"
"5th Street Capital","Non-QM, Hard Money, Jumbo","Wholesale","620","Todd Geritz","63 (1)","","","🔗","🔗","LPC: 1% or BPC up to 2% on business purpose","$1425 Lender Fee, $14 Flood, $24.95 Credit"
"A Mortgage Boutique","Conventional, FHA, VA, USDA, Heloan, Non-QM","Wholesale","580","Marissa Michaels","0 (0)","","","","🔗","2.50%","$1195 Standard Loans, $1495 Non-QM, No FEE on streamlines"
"A&D Mortgage LLC","Conventional, FHA, Heloan, Non-QM, Jumbo, Commercial - Residential","Wholesale","620","Nadia Smocvin","34 (30)","","3.6","🔗","🔗","LPC: 2.25% (30K Max)","$1495 UW"
"AAA Lendings","Conventional, FHA, VA, Heloc, Heloan, Non-QM, Jumbo","Wholesale","580","Freda Zhou","28 (1)","","","🔗","🔗","LPC: 2.25% (30K Max)","Lender Fee 
Agency $1050
Non QM $1495 
No Job No Income: $1790"
"ACC Mortgage Inc","Non-QM, Jumbo","Wholesale","620","Andrew Kim","28 (4)","","2.6","🔗","🔗","BPC only: 2.250%","$1,599"
"Acra Lending","Non-QM, Jumbo","Wholesale","575","Holly Sedgwick","70 (3)","","4.54","🔗","🔗","LPC/BPC 2.25% - No Min/Max","$1295 Admin"
"Advancial Mortgage","Conventional, Non-QM, Jumbo","Wholesale","600","Jason Mills","44 (1)","","3.4","🔗","🔗","LPC ONLY : 2%","Underwriting $1295, Doc Prep $225, Tax Service $65, Flood Cert $25"
"AHL Funding","Conventional, FHA, Heloan, Non-QM, Jumbo, Commercial - Residential","Wholesale","620","Peter Jordan","62 (2)","","","🔗","🔗","LPC: 2.25% (1K Min, 30K Max)","$1480"
"All Western Mortgage","Conventional, USDA, Hard Money, Reverse, Commercial - Residential","Wholesale","500","Harold Phillips","37 (1)","","","🔗","🔗","LPC/BPC: 2.250% ($1k Min $30k Max)","1895"
"American Bancshares Mortgage","Conventional, FHA, Non-QM, Jumbo","Wholesale","620","John A. Cosculluela","107 (1)","","3.2","🔗","🔗","2.25% (1K Min, 30K Max)","$1395 lender fee"
"American Heritage Lending","Conventional, Non-QM, Jumbo","Wholesale","660","Daniel Norris","50 (12)","","1.6","🔗","🔗","2.25% (1K Min, $30k Max)",""
"American Pride Bank","Conventional, Heloc, Heloan, Jumbo, Commercial - Residential","Wholesale","640","Brian Jensen","57 (1)","","","🔗","🔗","BPC ONLY: 2.250%,","$1695"
"Americap Direct","Conventional, FHA, Non-QM, Jumbo","Wholesale","580","Barry E. Zanck","0 (0)","","","🔗","🔗","LPC Only: 2.25% (1K Min, 30K Max)","$1595 UW"
"Ameris Bank","Conventional, FHA, VA, USDA, Non-QM, Jumbo","Wholesale","620","Kevin Capen","87 (1)","","2.8","🔗","🔗","LPC/BPC: 2.25% (1K Min, 30K Max)","Brokered Transactions $1025 Streamline/IRRRL $650 Non‐Delegated Mini‐Correspondent $725"
"Ameritrust Mortgage Corporation","Conventional, FHA, VA, Heloan, Non-QM, Jumbo, Commercial - Residential","Wholesale","580","Amit Sakhrani","40 (2)","","5","🔗","🔗","LPC: 2.25% (1K Min, 30K Max)",""
"Amwest Funding Corporation","Conventional, FHA, VA, USDA, Heloc, Non-QM, Jumbo","Wholesale","620","Steven Lee","41 (30)","","3.33","🔗","🔗","LPC/BPC: 2.25% (30K Max)","$1295"
"Anchor Loans","Non-QM, Hard Money, Commercial - Residential","Wholesale","620","Mike Urban","18 (4)","","5","🔗","🔗","Commercial Compensation - Contact AE","$1,000"
"Angel Oak Mortgage Solutions","Conventional, USDA, Heloc, Heloan, Non-QM, Jumbo","Wholesale","640","Brian Head","45 (12)","","4.85","🔗","🔗","LPC/BPC: 2.25% (30K Max)","$1795"
"ARC Home LLC","Conventional, FHA, VA, USDA, Non-QM, Jumbo","Wholesale","580","Leah Rodriguez","52 (3)","","2.2","🔗","🔗","LPC/BPC: 2.25% (1K Min, 30K Max)","$1,150 Standard Conv & Gov 
$645 Streamline & IRRRL 
$1,275 Jumbo 
$1495 NQM (+ $150 TX attorney fee)"
"ARDRI LLC","Non-QM, Jumbo, Commercial - Residential","Wholesale","600","Paul Pesantez","52 (2)","","","🔗","🔗","LPC/BPC: 2.250% ($30K Max)","$1595 and a possible $250 if we need a desk review, $250 for attny fee in SC and TX"
"Asset Based Lending","Non-QM, Hard Money, Commercial - Residential","Wholesale","660","Greg Dietz","20 (2)","","","🔗","🔗","Commercial Compensation- Contact AE",""
"Axos Bank","Conventional, USDA, Heloan, Non-QM, Jumbo","Wholesale","660","Jeremy Fraley","42 (1)","","","🔗","🔗","LPC: 1.25% investor max ($50K Max)","Lender fee $1695
Trust/Entity Review $350
TX Doc Review $150
Privacy Mortgage $350"
"Be in Mortgage","Conventional, FHA, VA, USDA, Non-QM","Wholesale","580","Alfredo Padilla","52 (1)","","","🔗","🔗","LPC/BPC 2.25% (1K Min, 30K Max)","Conventional & Government UW Fee: $1,195 
Non-QM UW Fee: $1395-$1695 depending on the program"
"BluePoint Mortgage","Conventional, FHA, VA, USDA, Heloan, Non-QM, Jumbo","Wholesale","550","Rebecca Raff","34 (2)","","4.72","🔗","🔗","LPC/BPC: 2.25% (1K Min, 30K Max)","CA: $1295
All Other States: $995
Non-QM: $1995"
"Brokers Advantage Mortgage","Conventional, FHA, Heloan, Non-QM, Jumbo","Wholesale","640","Chris Birkett","36 (28)","","4.4","🔗","🔗","BPC only on 1st TD. LPC on 2nd liens is 1.5%.  DSCR LPC 2.250%","UW: $1695
Tax Service: $80
Flood: $14"
"Brokers First Funding","Conventional, FHA, VA, USDA, Heloan, Non-QM, Jumbo, Commercial - Residential","Wholesale","500","Lito Gonzales","27 (1)","","","🔗","🔗","2.25% (1K Min, 30K Max)","Prime: $1,095
Non-QM: $1,495
S/L & IRRRL: $595"
"Button Finance","Heloc, Heloan","Wholesale","620","Rob Campbell","35 (18)","","4.24","🔗","🔗","LPC: 2% |  BPC: up to 5%",""
"Cake Mortgage Corp","Heloan, Non-QM, Jumbo","Wholesale","620","Chris Minassian","39 (8)","","5","🔗","🔗","LPC/BPC: 2.250% (30K Max)","Streamlines: $595
Full Doc: $1995
Non QM:$1475"
"California Bank & Trust","Commercial, SBA","Wholesale","650","Hillary Leon","24 (2)","","","🔗","🔗","Referral Fee: Contact AE",""
"CalVet Home Loans","VA","Wholesale","100","Lesa Walker","0 (0)","","","🔗","🔗","Referral Fee: 1% Paid to broker",""
"Cardinal Financial Company","Conventional, FHA, VA, USDA, Non-QM, Jumbo","Wholesale","550","Carmen Hreniuc","35 (4)","","","🔗","🔗","LPC/BPC: 2.25% (1K Min, 30K Max)","All States: $1195
All Govt & SL: $495"
"Carlyle Capital","Conventional, Non-QM, Commercial, Hard Money, Jumbo","Wholesale","650","Audrey Zorio","0 (0)","","","🔗","🔗","BPC",""
